Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,18.799999,18.799999,18.799999,18.799999,18.799999,200
2016-08-22,19.420000,19.420000,19.420000,19.420000,19.420000,1100
2016-08-23,19.420000,19.420000,19.420000,19.420000,19.420000,0
2016-08-24,19.420000,19.420000,19.420000,19.420000,19.420000,0
2016-08-25,19.420000,19.420000,19.420000,19.420000,19.420000,0
2016-08-26,19.420000,19.420000,19.420000,19.420000,19.420000,0
2016-08-29,20.070000,20.070000,20.070000,20.070000,20.070000,1800
2016-08-30,19.740000,19.740000,19.740000,19.740000,19.740000,1200
2016-08-31,19.740000,19.740000,19.740000,19.740000,19.740000,0
2016-09-01,19.740000,19.740000,19.740000,19.740000,19.740000,0
2016-09-02,19.740000,19.740000,19.740000,19.740000,19.740000,0
2016-09-05,19.740000,19.740000,19.740000,19.740000,19.740000,0
2016-09-06,20.309999,20.309999,20.309999,20.309999,20.309999,200
2016-09-08,20.309999,20.309999,20.309999,20.309999,20.309999,0
2016-09-09,20.309999,20.309999,20.309999,20.309999,20.309999,0
2016-09-12,22.360001,22.360001,22.360001,22.360001,22.360001,2100
2016-09-13,22.360001,22.360001,22.360001,22.360001,22.360001,0
2016-09-14,22.360001,22.360001,22.360001,22.360001,22.360001,0
2016-09-15,22.299999,22.299999,22.299999,22.299999,22.299999,300
2016-09-16,22.299999,22.299999,22.299999,22.299999,22.299999,0
2016-09-19,21.690001,21.690001,21.690001,21.690001,21.690001,1000
2016-09-20,21.690001,21.690001,21.690001,21.690001,21.690001,0
2016-09-21,21.690001,21.690001,21.690001,21.690001,21.690001,0
2016-09-22,21.690001,21.690001,21.690001,21.690001,21.690001,0
2016-09-23,21.690001,21.690001,21.690001,21.690001,21.690001,0
2016-09-26,21.570000,21.570000,21.570000,21.570000,21.570000,300
2016-09-27,21.570000,21.570000,21.570000,21.570000,21.570000,0
2016-09-28,21.620001,21.620001,21.620001,21.620001,21.620001,800
2016-09-29,21.620001,21.620001,21.620001,21.620001,21.620001,0
2016-09-30,21.370001,21.370001,21.370001,21.370001,21.370001,300
2016-10-03,20.870001,20.870001,20.870001,20.870001,20.870001,300
2016-10-04,20.870001,20.870001,20.870001,20.870001,20.870001,0
2016-10-05,20.870001,20.870001,20.870001,20.870001,20.870001,0
2016-10-06,20.920000,20.920000,20.920000,20.920000,20.920000,600
2016-10-07,20.920000,20.920000,20.920000,20.920000,20.920000,0
